Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
33,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
34,BISACQUINO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
35,MENFI,NEW-ORLEANS-LA,Agrigento,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
36,CIMINNA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
37,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
38,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
39,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
40,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
41,NICOSIA,NEW-ORLEANS-LA,Enna,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
42,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
43,CIMINNA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
44,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
45,SALAPARUTA,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
46,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
47,BISACQUINO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
48,MESSINA,NEW YORK,Messina,EGADI,PALERMO,08/07/1880,40.7127753,-74.0059728
49,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
50,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
51,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
52,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
53,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
54,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
55,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
56,PALERMO,NEW YORK,Palermo,LETIMBRO,PALERMO,12/03/1888,40.7127753,-74.0059728
57,PARTANNA,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
58,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
59,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
60,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
61,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
62,VICARI,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
63,TRABIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
64,TRABIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
65,CINISI,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
66,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
67,PALERMO,NEW YORK,Palermo,INIZIATIVA,NAPLES,07/13/1891,40.7127753,-74.0059728
68,PALERMO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
69,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
70,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
71,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
72,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
