,DestRaw,Dest
392,GERASCO,GERASCO
393,WINNIPEG CAN,"WINNIPEG, CAN"
394,BEAUMONT TX,"BEAUMONT, TX"
395,CAMDEN,"CAMDEN, NJ"
396,MC-KEESPORT PA,MC-KEESPORT PA
397,MONT MORIS NY,"MONT MORIS, NY"
398,PRINCE TOWN PA,"PRINCE TOWN, PA"
399,BENRID COL,BENRID COL
400,DETROIT-MI,"DETROIT, MI"
401,MONTREAL,MONTREAL
402,JOHUSTOWN,JOHUSTOWN
403,PATTERSON NJ.,"PATTERSON, NJ"
404,MASSANSON PA,"MASSANSON, PA"
405,ROME-NY,"ROME, NY"
406,COLORADO CO,COLORADO
407,JOHUNGSTON,JOHUNGSTON
408,SAINT LOUIS,"SAINT LOUIS, MO"
409,PHILADEPHIA PA,"PHILADEPHIA, PA"
