,Unnamed: 0,origin_city,origin_country,geocoder_results,origin_lon,origin_lat
50,50,VILLAROSA,ITALY,"<[OK] Google - Geocode [94010 Villarosa, Province of Enna, Italy]>",14.1814686,37.593011
51,51,MARIANOPOLI,ITALY,"<[OK] Google - Geocode [93010 Marianopoli, Province of Caltanissetta, Italy]>",13.9149407,37.599206
52,52,LASCARI,ITALY,"<[OK] Google - Geocode [90010 Lascari, Province of Palermo, Italy]>",13.9445265,37.9977026
53,53,CAMPOREALE,ITALY,"<[OK] Google - Geocode [90043 Camporeale, Province of Palermo, Italy]>",13.0875535,37.8935967
54,54,LICATA,ITALY,"<[OK] Google - Geocode [92027 Licata, AG, Italy]>",13.9373306,37.1017094
55,55,BOMPIETRO,ITALY,"<[OK] Google - Geocode [90020 Bompietro, Province of Palermo, Italy]>",14.1003182,37.7470889
56,56,AUGUSTA,ITALY,"<[OK] Google - Geocode [96011 Augusta, Province of Syracuse, Italy]>",15.2216971,37.2500684
57,57,CALTABELLOTTA,ITALY,"<[OK] Google - Geocode [92010 Caltabellotta, AG, Italy]>",13.2186148,37.5757496
58,58,VALLEDOLMO,ITALY,"<[OK] Google - Geocode [90029 Valledolmo, Province of Palermo, Italy]>",13.8277065,37.7471877
59,59,PATTI,ITALY,"<[OK] Google - Geocode [98066 Patti, Province of Messina, Italy]>",14.966624,38.1386229
60,60,BAGHERIA,ITALY,"<[OK] Google - Geocode [90011 Bagheria, Province of Palermo, Italy]>",13.512365,38.0789178
61,61,GRATTERI,ITALY,"<[OK] Google - Geocode [90010 Gratteri, Province of Palermo, Italy]>",13.9745206,37.9654496
62,62,SIRACUSA,ITALY,"<[OK] Google - Geocode [96100 Syracuse, Province of Syracuse, Italy]>",15.2865861,37.0754739
63,63,VILLAFRATI,ITALY,"<[OK] Google - Geocode [90030 Villafrati, Province of Palermo, Italy]>",13.4892624,37.9053952
64,64,CASTELDACCIA,ITALY,"<[OK] Google - Geocode [90014 Casteldaccia, Province of Palermo, Italy]>",13.5312438,38.0549544
65,65,MONREALE,ITALY,"<[OK] Google - Geocode [90046 Monreale, Province of Palermo, Italy]>",13.2889834,38.0814986
66,66,ALIMINUSA,ITALY,"<[OK] Google - Geocode [90020 Aliminusa, Province of Palermo, Italy]>",13.7826639,37.8649836
