,DestRaw,Dest,geocoder_results,bbox,latlong
135,AMSTERDAM,AMSTERDAM,"<[OK] Google - Geocode [Amsterdam, Netherlands]>","{'northeast': [52.431064, 5.0791619], 'southwest': [52.278174, 4.7287589]}","[52.3666969, 4.8945398]"
136,NEWARK,NEWARK,"<[OK] Google - Geocode [Newark, NJ, USA]>","{'northeast': [40.788664, -74.1127869], 'southwest': [40.6739029, -74.2513239]}","[40.735657, -74.1723667]"
137,SAN-FRANCISCO-CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
138,S FRANCISCO CAL,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
139,BRIAN TEXAS,"BRIAN, TEXAS","<[OK] Google - Geocode [Bryan, TX, USA]>","{'northeast': [30.730455, -96.245722], 'southwest': [30.590893, -96.46075900000001]}","[30.6743643, -96.3699632]"
140,JOUNGSTOWN-PA,"JOUNGSTOWN, PA","<[OK] Google - Geocode [Youngstown, PA 15650, USA]>","{'northeast': [40.282466, -79.360722], 'southwest': [40.27716909999999, -79.370188]}","[40.2797927, -79.36559129999999]"
141,CLEARFIELD CT,"CLEARFIELD, CT",<[OK] Google - Geocode #10 results>,"{'northeast': [46.99939363029149, -122.8368852697085], 'southwest': [46.99669566970849, -122.8395832302915]}","[46.99817669999999, -122.8380665]"
142,FLORIDA,FLORIDA,"<[OK] Google - Geocode [Florida, USA]>","{'northeast': [32.3607674, -77.8049338], 'southwest': [22.8285924, -89.8042682]}","[27.6648274, -81.5157535]"
143,ROCHESTER NY,"ROCHESTER, NY","<[OK] Google - Geocode [Rochester, NY, USA]>","{'northeast': [43.269045, -77.531166], 'southwest': [43.103318, -77.701632]}","[43.15657789999999, -77.6088465]"
144,PITSBURGH,"PITSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
